,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,company_ticker
Value,False,False,False,15.62,False,False,False,False,True,0,55,6.71,0,False,False,22.47,2,,False,False,False,31.41,Healthcare,False,0.14,0,False,CNC
Value,False,False,False,9.83,True,False,False,False,False,0,107,5.28,0,False,False,35.14,2,LEAD_PERF,True,False,False,74.76,Utilities,False,20.02,0,False,AEP
Value,False,False,False,9.07,False,False,False,False,False,0,99,4.19,0,False,False,14.35,0,LAG_PERF,False,False,False,7.8,Software & Services,False,1.1,0,False,SNPS
Value,False,False,False,4.59,False,False,False,False,False,0,24,5.15,0,False,False,13.47,1,LAG_PERF,False,False,False,5.99,Auto Components,False,3.73,0,False,APTV
Value,False,False,False,9.34,False,False,True,False,False,0,95,4.97,0,False,False,23.45,2,,False,False,False,33.56,Food Products,False,9.14,0,False,STZ
Value,False,False,False,9.13,False,False,False,False,False,0,29,8.46,0,False,False,31.5,1,LEAD_PERF,False,False,False,64.77,Semiconductors,False,13.91,0,False,MCHP
Value,False,False,False,9.44,False,False,False,False,True,0,83,6.26,0,True,False,16.57,2,LAG_PERF,False,False,False,12.8,Pharmaceuticals,False,0.87,0,False,A
Value,False,False,False,13.44,False,False,False,False,True,0,83,7.85,0,True,False,21.3,2,,False,False,False,27.2,Pharmaceuticals,False,0.02,0,False,BIIB
Value,False,False,False,5.03,False,False,False,False,False,0,33,4.74,0,False,False,12.14,2,LAG_PERF,False,False,False,3.88,Food Retailers,False,2.36,0,False,SYY
Value,False,False,False,14.05,False,False,False,False,False,0,42,5.31,0,False,False,24.23,3,,False,False,False,37.91,Consumer Services,False,4.88,0,False,CMG
Value,False,False,False,7.35,False,False,False,False,False,0,99,4.73,0,False,False,13.13,0,LAG_PERF,False,False,False,5.37,Software & Services,False,1.06,0,False,CDNS
Value,False,False,False,7.85,False,False,False,False,False,0,91,8.72,0,False,False,17.94,2,LAG_PERF,False,False,False,16.79,Insurance,False,1.38,0,False,MET
